"","continent","location","total_cases","total_deaths"
"200","Europe","Spain",13980340,121852
"201","Asia","Sri Lanka",672798,16907
"202","Africa","Sudan",63993,5046
"203","South America","Suriname",82501,1406
"204","Europe","Sweden",2755181,27399
"205","Europe","Switzerland",4457868,14170
"206","Asia","Syria",57423,3163
"207","Asia","Tajikistan",17786,125
"208","Africa","Tanzania",43230,846
"209","Asia","Thailand",4799180,34715
"210","Africa","Togo",39530,290
"211","Oceania","Tokelau",80,0
"212","Oceania","Tonga",16976,12
"213","North America","Trinidad and Tobago",191496,4390
"214","Africa","Tunisia",1153361,29423
"215","Asia","Turkey",17004718,101419
"216","Asia","Turkmenistan",0,0
"217","North America","Turks and Caicos Islands",6805,40
"218","Oceania","Tuvalu",2943,1
"219","Africa","Uganda",172154,3632
"220","Europe","Ukraine",5532777,109920
"221","Asia","United Arab Emirates",1067030,2349
"222","Europe","United Kingdom",24974629,232112
"223","North America","United States of America",103436829,1193165
"224","North America","United States Virgin Islands",25389,132
"225","South America","Uruguay",1041346,7682
"226","Asia","Uzbekistan",175081,1016
"227","Oceania","Vanuatu",12019,14
"228","Europe","Vatican",26,0
"229","South America","Venezuela",552695,5856
"230","Asia","Vietnam",11624000,43206
"231","Oceania","Wallis and Futuna",3760,9
"232","Asia","Yemen",11945,2159
"233","Africa","Zambia",349842,4077
"234","Africa","Zimbabwe",266386,5740
